protocol,block_date,symbol,TTL
eigenlayer,2023-12-10,mETH,0
eigenlayer,2023-12-10,ETHx,0
eigenlayer,2023-12-10,wBETH,0
eigenlayer,2023-12-10,sfrxETH,0
eigenlayer,2023-12-10,OETH,0
eigenlayer,2023-12-10,osETH,0
eigenlayer,2023-12-10,lsETH,0
eigenlayer,2023-12-10,swETH,0
eigenlayer,2023-12-11,stETH,77491.75838
eigenlayer,2023-12-11,ethereum,42184
eigenlayer,2023-12-11,cbETH,19086.52174
eigenlayer,2023-12-11,rETH,17478.25184
eigenlayer,2023-12-11,lsETH,0
eigenlayer,2023-12-11,ETHx,0
eigenlayer,2023-12-11,wBETH,0
eigenlayer,2023-12-11,swETH,0
eigenlayer,2023-12-11,mETH,0
eigenlayer,2023-12-11,OETH,0
eigenlayer,2023-12-11,sfrxETH,0
eigenlayer,2023-12-11,ankrETH,0
eigenlayer,2023-12-11,osETH,0
eigenlayer,2023-12-12,stETH,76957.38174
eigenlayer,2023-12-12,ethereum,43424
eigenlayer,2023-12-12,cbETH,19083.67383
eigenlayer,2023-12-12,rETH,17475.07669
eigenlayer,2023-12-12,wBETH,0
eigenlayer,2023-12-12,OETH,0
eigenlayer,2023-12-12,sfrxETH,0
eigenlayer,2023-12-12,lsETH,0
eigenlayer,2023-12-12,swETH,0
eigenlayer,2023-12-12,mETH,0
eigenlayer,2023-12-12,ankrETH,0
eigenlayer,2023-12-12,osETH,0
eigenlayer,2023-12-12,ETHx,0
eigenlayer,2023-12-13,stETH,76671.69547
eigenlayer,2023-12-13,ethereum,43540
eigenlayer,2023-12-13,cbETH,19082.49671
eigenlayer,2023-12-13,rETH,17429.30771
eigenlayer,2023-12-13,swETH,0
eigenlayer,2023-12-13,wBETH,0
eigenlayer,2023-12-13,osETH,0
eigenlayer,2023-12-13,mETH,0
eigenlayer,2023-12-13,ankrETH,0
eigenlayer,2023-12-13,OETH,0
eigenlayer,2023-12-13,lsETH,0
eigenlayer,2023-12-13,ETHx,0
eigenlayer,2023-12-13,sfrxETH,0
eigenlayer,2023-12-14,stETH,76068.96418
eigenlayer,2023-12-14,ethereum,43656
eigenlayer,2023-12-14,cbETH,19051.16912
eigenlayer,2023-12-14,rETH,17396.0908
eigenlayer,2023-12-14,osETH,0
eigenlayer,2023-12-14,lsETH,0
eigenlayer,2023-12-14,OETH,0
eigenlayer,2023-12-14,mETH,0
eigenlayer,2023-12-14,swETH,0
eigenlayer,2023-12-14,ankrETH,0
eigenlayer,2023-12-14,ETHx,0
eigenlayer,2023-12-14,wBETH,0
eigenlayer,2023-12-14,sfrxETH,0
eigenlayer,2023-12-15,stETH,76019.75712
eigenlayer,2023-12-15,ethereum,44928
eigenlayer,2023-12-15,cbETH,19050.22113
eigenlayer,2023-12-15,rETH,17383.9446
eigenlayer,2023-12-15,mETH,0
eigenlayer,2023-12-15,OETH,0
eigenlayer,2023-12-15,osETH,0
eigenlayer,2023-12-15,swETH,0
eigenlayer,2023-12-15,wBETH,0
eigenlayer,2023-12-15,ETHx,0
eigenlayer,2023-12-15,lsETH,0
eigenlayer,2023-12-15,sfrxETH,0
eigenlayer,2023-12-15,ankrETH,0
eigenlayer,2023-12-16,stETH,74430.66929
eigenlayer,2023-12-16,ethereum,45096
eigenlayer,2023-12-16,cbETH,19042.90164
eigenlayer,2023-12-16,rETH,17359.50783
eigenlayer,2023-12-16,OETH,0
eigenlayer,2023-12-16,sfrxETH,0
eigenlayer,2023-12-16,lsETH,0
eigenlayer,2023-12-16,osETH,0
eigenlayer,2023-12-16,ankrETH,0
eigenlayer,2023-12-16,mETH,0
eigenlayer,2023-12-16,ETHx,0
eigenlayer,2023-12-16,wBETH,0
eigenlayer,2023-12-16,swETH,0
eigenlayer,2023-12-17,stETH,74320.29557
eigenlayer,2023-12-17,ethereum,46516
eigenlayer,2023-12-17,cbETH,19033.73464
eigenlayer,2023-12-17,rETH,17353.1429
eigenlayer,2023-12-17,sfrxETH,0
eigenlayer,2023-12-17,ETHx,0
eigenlayer,2023-12-17,wBETH,0
eigenlayer,2023-12-17,lsETH,0
eigenlayer,2023-12-17,OETH,0
eigenlayer,2023-12-17,osETH,0
eigenlayer,2023-12-17,swETH,0
eigenlayer,2023-12-17,mETH,0
eigenlayer,2023-12-17,ankrETH,0
eigenlayer,2023-12-18,stETH,166010.1173
eigenlayer,2023-12-18,ethereum,46772
eigenlayer,2023-12-18,swETH,35133.49237
eigenlayer,2023-12-18,ETHx,25945.72957
eigenlayer,2023-12-18,cbETH,23461.21303
eigenlayer,2023-12-18,rETH,23459.68647
eigenlayer,2023-12-18,osETH,12341.66851
eigenlayer,2023-12-18,OETH,2894.411489
eigenlayer,2023-12-18,wBETH,757.4283923
eigenlayer,2023-12-18,ankrETH,265.1898815
eigenlayer,2023-12-18,lsETH,0
eigenlayer,2023-12-18,mETH,0
eigenlayer,2023-12-18,sfrxETH,0
eigenlayer,2023-12-19,stETH,198810.3714
eigenlayer,2023-12-19,ethereum,48252
eigenlayer,2023-12-19,swETH,47227.57154
